timestamp,pump_id,flow_rate,pressure,vibration,temperature,failure,vibration_rolling_mean,pressure_rolling_mean
2026-01-22 16:46:36.306301,PUMP_001,497.82,4.86,1.69,41.02,0,1.69,4.86
2026-01-23 04:46:36.306301,PUMP_001,496.78,5.17,1.98,43.79,0,1.84,5.02
2026-01-23 07:46:36.306301,PUMP_001,501.4,4.4,2.16,47.16,0,1.94,4.81
2026-01-23 09:46:36.306301,PUMP_001,521.4,3.77,2.1,49.63,0,2.08,4.45
2026-01-23 14:46:36.306301,PUMP_001,499.76,4.81,1.91,39.44,0,2.05,4.32
2026-01-23 17:46:36.306301,PUMP_001,486.77,6.36,2.13,40.71,0,2.04,4.98
2026-01-23 22:46:36.306301,PUMP_001,522.49,5.89,1.87,36.54,0,1.97,5.69
2026-01-24 11:46:36.306301,PUMP_001,606.65,1.92,4.48,67.37,0,2.82,4.72
2026-01-24 16:46:36.306301,PUMP_001,539.53,5.65,2.0,48.41,0,2.78,4.49
2026-01-25 00:46:36.306301,PUMP_001,504.44,3.98,4.54,69.79,0,3.68,3.85
2026-01-25 02:46:36.306301,PUMP_001,560.02,5.91,1.98,49.88,0,2.84,5.18
2026-01-25 09:46:36.306301,PUMP_001,506.01,5.26,2.14,39.38,0,2.89,5.05
2026-01-25 11:46:36.306301,PUMP_001,603.04,5.88,1.95,49.86,0,2.02,5.68
2026-01-25 15:46:36.306301,PUMP_001,499.26,3.44,2.88,45.15,0,2.32,4.86
2026-01-25 21:46:36.306301,PUMP_001,598.67,5.43,1.88,41.32,0,2.23,4.92
2026-01-26 09:46:36.306301,PUMP_001,531.93,4.24,2.16,39.3,0,2.3,4.37
2026-01-26 11:46:36.306301,PUMP_001,538.01,4.96,1.8,51.44,0,1.94,4.88
2026-01-26 16:46:36.306301,PUMP_001,540.29,5.16,1.96,49.15,0,1.97,4.79
2026-01-27 09:46:36.306301,PUMP_001,590.9,5.62,1.59,43.29,0,1.78,5.25
2026-01-27 18:46:36.306301,PUMP_001,555.17,6.14,1.44,49.35,0,1.66,5.64
2026-01-28 00:46:36.306301,PUMP_001,501.3,5.09,1.85,41.94,0,1.63,5.62
2026-01-28 11:46:36.306301,PUMP_001,544.33,4.36,2.28,40.72,0,1.86,5.2
2026-01-29 03:46:36.306301,PUMP_001,515.28,4.87,1.95,39.16,0,2.03,4.77
2026-01-29 06:46:36.306301,PUMP_001,563.92,4.5,2.03,43.89,0,2.09,4.58
2026-01-29 19:46:36.306301,PUMP_001,414.11,4.77,1.52,37.08,0,1.83,4.72
2026-01-29 20:46:36.306301,PUMP_001,538.02,5.47,2.17,43.38,0,1.91,4.92
2026-01-29 23:46:36.306301,PUMP_001,527.63,5.11,2.18,52.38,0,1.95,5.12
2026-01-30 09:46:36.306301,PUMP_001,385.76,5.2,1.86,46.62,0,2.07,5.26
2026-01-30 12:46:36.306301,PUMP_001,485.24,4.77,2.07,44.77,0,2.04,5.02
2026-01-31 03:46:36.306301,PUMP_001,448.57,4.36,1.67,40.57,0,1.87,4.78
2026-01-31 04:46:36.306301,PUMP_001,577.63,3.92,2.35,45.21,0,2.03,4.35
2026-01-31 20:46:36.306301,PUMP_001,418.42,5.79,1.71,38.89,0,1.91,4.69
2026-01-31 21:46:36.306301,PUMP_001,524.67,5.48,2.04,41.99,0,2.04,5.07
2026-02-01 07:46:36.306301,PUMP_001,504.09,4.95,2.18,43.55,0,1.98,5.41
2026-02-01 10:46:36.306301,PUMP_001,569.51,5.28,2.0,38.44,0,2.08,5.24
2026-02-01 14:46:36.306301,PUMP_001,464.66,5.08,2.0,47.18,0,2.06,5.1
2026-02-01 18:46:36.306301,PUMP_001,519.59,5.47,1.9,39.03,0,1.97,5.28
2026-02-01 22:46:36.306301,PUMP_001,494.17,5.23,2.03,46.63,0,1.98,5.26
2026-02-02 00:46:36.306301,PUMP_001,514.96,5.02,1.85,47.3,0,1.93,5.24
2026-02-02 05:46:36.306301,PUMP_001,575.07,4.57,1.82,49.81,0,1.9,4.94
2026-02-02 09:46:36.306301,PUMP_001,483.43,4.33,2.18,46.52,0,1.95,4.64
2026-02-03 19:46:36.306301,PUMP_001,544.16,4.96,1.96,60.97,0,1.99,4.62
2026-02-04 17:46:36.306301,PUMP_001,443.98,4.95,1.8,42.66,0,1.98,4.75
2026-02-05 16:46:36.306301,PUMP_001,497.7,2.48,4.56,57.18,0,2.78,4.13
2026-02-05 19:46:36.306301,PUMP_001,545.2,5.1,1.84,44.91,0,2.74,4.18
2026-02-06 00:46:36.306301,PUMP_001,436.21,5.26,2.05,46.29,0,2.82,4.28
2026-02-06 02:46:36.306301,PUMP_001,480.42,4.82,2.39,45.09,0,2.1,5.06
2026-02-07 10:46:36.306301,PUMP_001,521.92,5.01,2.13,47.96,0,2.19,5.03
2026-02-07 17:46:36.306301,PUMP_001,531.93,4.88,1.95,35.82,0,2.16,4.9
2026-02-07 23:46:36.306301,PUMP_001,526.44,5.74,1.96,46.53,0,2.01,5.21
2026-02-08 04:46:36.306301,PUMP_001,464.5,4.7,1.69,45.16,0,1.87,5.11
2026-02-09 20:46:36.306301,PUMP_001,515.19,5.36,1.95,52.27,0,1.87,5.27
2026-02-10 00:46:36.306301,PUMP_001,574.39,5.04,2.16,47.73,0,1.94,5.03
2026-02-10 04:46:36.306301,PUMP_001,531.89,4.86,2.06,34.22,0,2.06,5.09
2026-02-10 11:46:36.306301,PUMP_001,487.94,5.38,2.0,46.77,0,2.07,5.09
2026-02-11 07:46:36.306301,PUMP_001,534.87,4.77,1.99,43.34,0,2.02,5.0
2026-02-11 11:46:36.306301,PUMP_001,490.47,4.85,2.22,39.84,0,2.07,5.0
2026-02-12 15:46:36.306301,PUMP_001,450.01,4.61,2.14,45.91,0,2.12,4.74
2026-02-12 19:46:36.306301,PUMP_001,461.13,5.35,1.91,34.77,0,2.09,4.94
2026-02-12 23:46:36.306301,PUMP_001,464.86,4.4,2.1,45.98,0,2.05,4.78
